timestamp,roll,pitch,yaw,AccX,AccY,AccZ,RelAccX,RelAccY,RelAccZ,GyroX,GyroY,GyroZ,QuarX,QuarY,QuarZ,QuarW
31124623912,0.529039,-0.463713,1.94485,0.42334,0.470215,0.736816,-54.7309653,36.27490131,84.8984308,-1.5625,-1.1875,2.9375,0.326599,0.0853271,0.809998,0.479431
31124646382,0.52959,-0.463886,1.94525,0.421875,0.476074,0.713379,-54.3090903,36.75097531,85.6118098,-0.9375,0.4375,2.875,0.326782,0.0855713,0.810059,0.479126
31124661494,0.530457,-0.464039,1.94565,0.42334,0.482422,0.710449,-53.8857503,37.23339731,86.3222588,-0.8125,0.75,2.6875,0.327026,0.0859375,0.81012,0.478821
31124684095,0.531041,-0.464377,1.94599,0.433105,0.471191,0.714355,-53.4526453,37.70458831,87.0366138,-0.8125,0.5,2.1875,0.327271,0.0861206,0.810181,0.478577
31124706348,0.532115,-0.464782,1.94579,0.440918,0.473145,0.723633,-53.0117273,38.17773331,87.7602468,0.6875,0,1.3125,0.327698,0.0864258,0.810059,0.478333
31124721387,0.533613,-0.465103,1.94559,0.446777,0.466797,0.719727,-52.5649503,38.64453031,88.4799738,1.625,0.1875,0.4375,0.328186,0.0869141,0.809937,0.478088
31124743844,0.535055,-0.465947,1.9451,0.457031,0.471191,0.726074,-52.1079193,39.11572131,89.2060478,1.125,-0.9375,0.375,0.328857,0.0871582,0.809753,0.477966
31124766412,0.53608,-0.466702,1.94461,0.44873,0.462891,0.720703,-51.6591893,39.57861231,89.9267508,0.5,-1.1875,0.375,0.329407,0.0872803,0.80957,0.477844
31124780711,0.537487,-0.467558,1.94416,0.45166,0.468262,0.723633,-51.2075293,40.04687431,90.6503838,1.375,-1.0625,0.375,0.330078,0.0875244,0.809387,0.477661
31124803852,0.537697,-0.467604,1.94416,0.449707,0.467285,0.727051,-50.7578223,40.51415931,91.3774348,0.875,-0.4375,0.75,0.330139,0.0875854,0.809387,0.477661
31124826379,0.538746,-0.468067,1.94418,0.443848,0.46875,0.730957,-50.3139743,40.98290931,92.1083918,1.4375,-0.1875,1.5,0.330566,0.0878906,0.809326,0.477356
31124840572,0.53988,-0.468346,1.94444,0.445312,0.471191,0.733398,-49.8686623,41.45410031,92.8417898,1.625,0.0625,1.5625,0.330933,0.0883179,0.809326,0.47699
31124863914,0.540984,-0.468668,1.94461,0.446289,0.470215,0.742188,-49.4223733,41.92431531,93.5839778,2.125,-0.125,1.0625,0.331299,0.0886841,0.809326,0.476746
31124886349,0.542142,-0.46905,1.94432,0.444336,0.474121,0.742188,-48.9780373,42.39843631,94.3261658,1.1875,-1.0625,0.6875,0.331726,0.0889893,0.809204,0.476624
31124900655,0.542962,-0.469759,1.94383,0.445801,0.46875,0.737305,-48.5322363,42.86718631,95.0634708,0.6875,-1.8125,0.625,0.332214,0.0890503,0.809021,0.476501
