Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
289,53.4375,16.5625,-29,-0.086146735,-0.019581122,0.026606327,,,
290,42.5,15,-19.5625,-0.088887143,-0.021324898,0.025609898,,,
291,36.5,15,-7.8125,-0.091228878,-0.021524286,0.027104592,,,
292,29.6875,17.5,2.6875,-0.086595204,-0.014548776,0.029944592,,,
293,10.75,20.25,7.0625,-0.086096939,-0.011011224,0.030442857,,,
294,-26.875,29.3125,14.1875,-0.075085714,-0.03976,0.044543163,,,
295,-8.5,33.875,11.625,-0.078772755,-0.042998673,0.043247755,,,
296,11.625,36.5625,12.4375,-0.08211102,-0.034528469,0.046536224,,,
297,3.75,36.25,-0.1875,-0.07498602,-0.035176224,0.050522143,,,
298,-12.3125,35.4375,-19.8125,-0.071946735,-0.04374602,0.05241551,,,
299,-20.5625,36.6875,-33.25,-0.078922245,-0.050621837,0.053810612,,,
300,-24.9375,38.5625,-38,-0.082459694,-0.044144592,0.049725,,,
301,-30.25,37.1875,-48.0625,-0.086246429,-0.039361429,0.041952347,,,
302,-32.4375,33.75,-49.5625,-0.095613469,-0.035325612,0.031588776,,,
303,-34.5,31.1875,-39.5625,-0.098503265,-0.02541051,0.022171939,,,
304,-44.625,31.3125,-24.4375,-0.097656224,-0.018136122,0.005281408,,,
305,-76,47.375,17.4375,-0.108767347,0.002042806,-0.015694796,,,
306,-146.562,31.375,12.875,-0.05993898,-0.048180408,0.035724286,,,
307,-109.688,24.625,-32.25,-0.078623265,-0.094915918,0.037567755,,,
308,-35.75,36.0625,-0.375,-0.085548878,-0.056700408,-0.005729827,,,
309,-33.3125,39.1875,-0.5625,-0.093271633,-0.053461837,-0.006078602,,,
310,-45.9375,40.5,2.8125,-0.097755918,-0.040856224,-0.010961429,,,
311,-50.3125,40.25,4.0625,-0.099848571,-0.048778265,-0.005082112,,,
312,-39.875,39.4375,7.125,-0.098752347,-0.040208469,-0.005032286,,,
313,-45.125,37.5625,10.1875,-0.094417653,-0.023915816,-0.005331235,,,
314,-55.5,34.5,9.875,-0.090282245,-0.032784592,-0.000896843,,,
315,-38.5,29.1875,12.625,-0.087242857,-0.035525,0.005082112,,,
316,-24.8125,23.5625,16.875,-0.090431633,-0.024115102,0.003388071,,,
317,-29.375,17.125,18.375,-0.097357347,-0.018435102,0.005381061,,,
318,-33.5625,11.5625,18.875,-0.109165306,-0.027553061,0.00866948,,,
319,-11.75,7.375,17.6875,-0.11394898,-0.022819694,0.010164224,,,
320,-18.375,1.75,17.125,-0.119280612,-0.026905306,0.009466673,,,
321,-8.625,-6.5625,19.6875,-0.117536735,-0.031987449,0.011459694,,,
322,8.375,-12.125,20.5625,-0.123266327,-0.03821551,0.013253367,,,
323,34.3125,-17.1875,19.6875,-0.117934694,-0.052814082,0.010612653,,,
324,106.375,-17.0625,18.1875,-0.111657143,-0.057896224,0.015445612,,,
325,147.188,-16.0625,10.375,-0.099599388,-0.041553776,0.009466673,,,
326,121.125,-20.25,7.75,-0.094417653,-0.029296837,0.001096143,,,
327,80.125,-26,2.6875,-0.092225408,-0.038315102,0.002690531,,,
328,74.5,-27.5,-1.25,-0.087492041,-0.041703163,0.004633694,,,
329,89,-24,-6.5,-0.085200102,-0.023068776,0.006277898,,,
330,41.375,-28.0625,-16.625,-0.089933469,-0.005381061,-0.004334745,,,
331,14.4375,-32.875,-16.125,-0.09501551,-0.018584592,0.007473694,,,
332,25.4375,-38.5625,-11.75,-0.100446429,-0.016292653,0.020727041,,,
333,55.9375,-57.8125,14.3125,-0.100296939,0.041503878,0.022371224,,,
334,30.3125,-21.375,-10.5,-0.111557143,-0.038813367,0.014150204,,,
335,96.5625,-27.5625,-26.9375,-0.102090816,-0.017388776,-0.010861735,,,
336,48.25,-33.25,4.9375,-0.102987755,0.003338245,0.012555816,,,
337,25.5625,-31.25,19.4375,-0.104731633,-0.01733898,0.016790918,,,
338,1.6875,-31.625,21.6875,-0.108318367,-0.009317204,0.0142,,,
339,-112,-55,145.5,-0.132732653,0.098553061,-0.000149473,,,
340,-61.1875,-202.812,-39,-0.109614286,-0.06407449,0.177873469,,,
341,294.812,-57.25,228.25,-0.022769898,0.006078602,0.070153061,,,
342,302.188,24.9375,270.562,0.011758571,0.047781837,0.037767041,,,
343,184.938,74.4375,84.9375,-0.008171235,0.180614286,-0.013701735,,,
344,-149.562,78.875,130.25,-0.136469388,0.239507143,-0.043447041,,,
